TargetName	FLT_TX_2 | 003 | Full ROI	FLT_TX_2 | 007 | Full ROI	FLT_TX_2 | 011 | Full ROI	GC_SAL_2 | 001 | Full ROI	GC_SAL_2 | 005 | Full ROI	GC_SAL_2 | 009 | Full ROI	GC_TX_2 | 003 | Full ROI	GC_TX_2 | 007 | Full ROI	GC_TX_2 | 011 | Full ROI	FLT_SAL_2 | 003 | Full ROI	FLT_SAL_2 | 007 | Full ROI	FLT_SAL_2 | 011 | Full ROI
Fbxo3	31.44673682	35.57610631	28.76661721	37.91663962	36.88405139	43.55457132	31.36947211	43.728964	40.93273595	44.02543155	39.30842103	35.07644189
Pfdn1	51.45829662	60.47938072	61.28540188	50.55551949	51.79462536	54.14892651	53.00359081	60.77584827	60.03467939	55.46060858	55.74648801	56.66194459
Zfp784	24.29975118	26.68207973	21.26228228	16.85183983	25.89731268	23.54301153	22.71582463	34.09376854	21.83079251	26.87266601	23.58505262	20.23640878
Gpr152	21.44095693	22.23506644	22.51300477	20.0115598	21.97347742	18.83440922	20.55241276	24.45857309	18.19232709	21.72683635	20.72625836	20.23640878
Spred2	54.31709088	56.92177009	82.54768416	65.30087934	67.48996637	87.10914265	91.94500447	88.19909688	75.49815742	56.03236743	68.61106216	66.5553
Padi4	31.44673682	20.45626113	20.0115598	11.58563988	22.75824448	18.83440922	15.14388309	20.75272868	25.46925792	23.44211291	21.44095693	24.28369054
Sh3bgrl	20.0115598	24.90327441	13.75794736	18.95831981	32.96021614	22.36586095	21.6341187	23.7174042	21.83079251	29.15970142	35.73492821	28.3309723
Pax8	31.44673682	16.00924784	18.76083731	16.85183983	18.83440922	20.0115598	20.55241276	17.04688427	18.19232709	23.44211291	20.72625836	20.68610676
Stat2	31.44673682	22.23506644	27.51589472	23.17127977	18.83440922	22.36586095	25.96094244	29.64675526	26.37887428	19.43980095	26.44384687	29.68006622
Fcho1	104.3459904	87.16146045	83.79840665	63.19439936	72.19856868	70.62903458	78.96453325	93.38727905	83.68470461	56.03236743	72.18455498	71.95167568
Jak2	50.02889949	34.68670365	20.0115598	26.33099973	39.23835254	37.66881844	38.94141366	37.79961295	40.93273595	38.30784304	28.58794257	35.97583784
Ppfibp2	30.0173397	30.23969036	36.27095213	26.33099973	33.74498319	25.89731268	20.55241276	30.38792414	26.37887428	32.59025453	37.16432534	30.57946216
Mif	88.62262196	124.5163721	97.55635401	97.95131901	81.61577329	68.27473343	126.5595944	98.57546122	84.59432096	91.48141622	99.34310042	100.7323459
Yipf2	27.15854544	32.90789833	36.27095213	27.38423972	41.5926537	36.49166787	29.20606024	20.75272868	25.46925792	31.44673682	27.873244	35.52613986
Serpinf2	15.72336841	18.67745581	8.755057411	28.43747971	21.18871037	24.7201621	21.6341187	22.23506644	24.55964157	27.44442486	30.73203826	22.48489865
Usp4	28.58794257	22.23506644	22.51300477	35.81015964	29.03638088	32.96021614	41.10482553	32.61143078	35.47503782	25.72914831	28.58794257	34.62674392
Pced1a	22.87035405	23.1244691	21.26228228	14.74535985	28.25161383	29.42876441	30.28776618	25.94091085	26.37887428	26.30090716	22.87035405	21.5855027
Odf3l2	22.87035405	16.00924784	16.25939234	28.43747971	10.20197166	16.48010807	27.04264837	20.75272868	21.83079251	24.58563061	24.29975118	14.39033514
Epb41l5	32.87613395	21.34566378	17.51011482	30.54395969	27.46684678	24.7201621	29.20606024	31.12909302	19.10194344	30.30321912	21.44095693	25.63278446
Rps24	267.297263	315.7379435	310.1791769	339.1432766	288.7942747	291.9333429	283.406955	313.5144368	299.2637806	292.168773	295.8852056	298.5994541
Olfr1020	20.0115598	26.68207973	16.25939234	23.17127977	11.77150576	24.7201621	20.55241276	26.68207973	29.10772334	26.30090716	17.8674641	19.33701284
Gfra4	30.0173397	22.23506644	22.51300477	29.4907197	17.26487512	18.83440922	22.71582463	21.49389756	20.92117615	22.2985952	21.44095693	19.78671081
Zfp462	21.44095693	32.01849568	25.01444975	23.17127977	22.75824448	32.96021614	24.8792365	30.38792414	29.10772334	30.87497797	30.0173397	34.17704595
Abcc3	15.72336841	28.46088504	23.76372726	22.11803978	24.32777858	18.83440922	17.30729496	18.52922203	23.65002521	26.30090716	23.58505262	20.23640878
Poteg	27.15854544	31.12909302	17.51011482	30.54395969	21.97347742	30.60591498	17.30729496	17.04688427	21.83079251	30.30321912	29.30264113	28.78067027
Olfr1499	14.29397128	24.90327441	26.26517223	21.06479979	21.18871037	28.25161383	23.79753057	25.19974197	29.10772334	25.72914831	20.0115598	20.68610676
